id,composer,composition,movement,ensemble,seconds,key,tonic,tonic_encoded,mode
1727,Schubert,Piano Quintet in A major,2. Andante,Piano Quintet,447,A major,A,9,major
1728,Schubert,Piano Quintet in A major,3. Scherzo: Presto,Piano Quintet,251,A major,A,9,major
1729,Schubert,Piano Quintet in A major,4. Andantino - Allegretto,Piano Quintet,444,A major,A,9,major
1730,Schubert,Piano Quintet in A major,5. Allegro giusto,Piano Quintet,368,A major,A,9,major
1733,Schubert,Piano Sonata in A major,2. Andantino,Solo Piano,546,A major,A,9,major
1734,Schubert,Piano Sonata in A major,3. Scherzo. Allegro vivace,Solo Piano,325,A major,A,9,major
1735,Schubert,Piano Sonata in A major,4. Rondo. Allegretto,Solo Piano,714,A major,A,9,major
1739,Schubert,Piano Trio in B-flat major,4. Rondo. Allegro vivace,Piano Trio,490,B-flat major,B-flat,10,major
1742,Schubert,String Quintet in C major,2. Adagio,Viola Quintet,924,C major,C,0,major
1749,Schubert,Piano Sonata in A minor,1. Moderato,Solo Piano,696,A minor,A,9,minor
1750,Schubert,Piano Sonata in A minor,2. Andante poco mosso,Solo Piano,784,A minor,A,9,minor
1751,Schubert,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,Solo Piano,475,A minor,A,9,minor
1752,Schubert,Piano Sonata in A minor,4. Rondo. Allegro vivace,Solo Piano,362,A minor,A,9,minor
1755,Schubert,Piano Sonata in A minor,2. Andante,Solo Piano,229,A minor,A,9,minor
1756,Schubert,Piano Sonata in A minor,3. Allegro vivace,Solo Piano,371,A minor,A,9,minor
1757,Schubert,Piano Sonata in C minor,1. Allegro,Solo Piano,710,C minor,C,0,minor
1758,Schubert,Piano Sonata in C minor,2. Adagio,Solo Piano,468,C minor,C,0,minor
1759,Schubert,Piano Sonata in C minor,3. Menuetto and Trio,Solo Piano,194,C minor,C,0,minor
1760,Schubert,Piano Sonata in C minor,4. Allegro,Solo Piano,655,C minor,C,0,minor
1763,Schubert,4 Impromptus,1. Impromptu in F minor,Solo Piano,600,F minor,F,5,minor
1764,Schubert,4 Impromptus,2. Impromptu in A-flat major,Solo Piano,438,A-flat major,A-flat,8,major
1765,Schubert,4 Impromptus,3. Impromptu in B-flat major,Solo Piano,676,B-flat major,B-flat,10,major
1766,Schubert,4 Impromptus,4. Impromptu in F minor,Solo Piano,427,F minor,F,5,minor
1768,Schubert,Piano Sonata in A major,2. Andante,Solo Piano,290,A major,A,9,major
1771,Schubert,Piano Sonata in D-flat major,1. Allegro moderato,Solo Piano,647,D-flat major,D-flat,1,major
1772,Schubert,Piano Sonata in D-flat major,2. Andante molto,Solo Piano,417,D-flat major,D-flat,1,major
1773,Schubert,Piano Sonata in D-flat major,3. Menuetto. Allegretto,Solo Piano,307,D-flat major,D-flat,1,major
1775,Schubert,Piano Sonata in D major,1. Allegro vivace,Solo Piano,578,D major,D,2,major
1776,Schubert,Piano Sonata in D major,2. Con moto,Solo Piano,726,D major,D,2,major
1777,Schubert,Piano Sonata in D major,3. Scherzo. Allegro vivace,Solo Piano,629,D major,D,2,major
1788,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,513,C major,C,0,major
1789,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,461,C major,C,0,major
1790,Mozart,String Quartet No 19 in C major,3. Menuetto. Allegro,String Quartet,323,C major,C,0,major
1791,Mozart,String Quartet No 19 in C major,4. Allegro molto,String Quartet,351,C major,C,0,major
1792,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,472,C major,C,0,major
1793,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,504,C major,C,0,major
1805,Mozart,String Quartet No 14 in G major,1. Allegro vivace assai,String Quartet,356,G major,G,7,major
1807,Mozart,String Quartet No 14 in G major,3. Andante cantabile,String Quartet,444,G major,G,7,major
1811,Mozart,Clarinet Quintet in A major,2. Larghetto,Clarinet Quintet,489,A major,A,9,major
1812,Mozart,Clarinet Quintet in A major,3. Menuetto,Clarinet Quintet,466,A major,A,9,major
1813,Mozart,Clarinet Quintet in A major,4. Allegretto con variazioni,Clarinet Quintet,591,A major,A,9,major
1817,Mozart,Serenade in E-flat major,2. Menuetto,Pairs Clarinet-Horn-Bassoon,250,E-flat major,E-flat,3,major
1818,Mozart,Serenade in E-flat major,3. Adagio,Pairs Clarinet-Horn-Bassoon,407,E-flat major,E-flat,3,major
1819,Mozart,Serenade in E-flat major,4. Menuetto,Pairs Clarinet-Horn-Bassoon,177,E-flat major,E-flat,3,major
1822,Mozart,String Quartet No 15 in D minor,1. Allegro moderato,String Quartet,460,D minor,D,2,minor
1824,Mozart,String Quartet No 15 in D minor,3. Menuetto and Trio. Allegretto,String Quartet,252,D minor,D,2,minor
1828,Mozart,Piano Trio No 4 in E major,2. Andante grazioso,Piano Trio,265,E major,E,4,major
1829,Mozart,Piano Trio No 4 in E major,3. Allegro,Piano Trio,421,E major,E,4,major
1835,Mozart,String Quartet No 23 in F major,3. Menuetto. Allegretto,String Quartet,236,F major,F,5,major
1859,Mozart,String Quartet No 18 in A major,2. Menuetto and Trio,String Quartet,392,A major,A,9,major
1872,Mozart,Piano Trio No 3 in B-flat major,2. Larghetto,Piano Trio,509,B-flat major,B-flat,10,major
1873,Mozart,Piano Trio No 3 in B-flat major,3. Allegretto,Piano Trio,366,B-flat major,B-flat,10,major
1876,Mozart,Piano Trio No2 in G major,2. Andante,Piano Trio,356,G major,G,7,major
1893,Mozart,Piano Trio No 6 in G major,3. Allegretto,Piano Trio,325,G major,G,7,major
1916,Dvorak,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,String Quartet,675,E-flat major,E-flat,3,major
1918,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,367,E-flat major,E-flat,3,major
1919,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,434,E-flat major,E-flat,3,major
1922,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,402,E-flat major,E-flat,3,major
1923,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,393,E-flat major,E-flat,3,major
1931,Dvorak,String Quartet No 12 in F major,2. Lento,String Quartet,471,F major,F,5,major
1932,Dvorak,String Quartet No 12 in F major,3. Molto vivace,String Quartet,250,F major,F,5,major
1933,Dvorak,String Quartet No 12 in F major,4. Finale: vivace ma non troppo,String Quartet,351,F major,F,5,major
2075,Cambini,Wind Quintet No 1 in B-flat Major,1. Allegro maestoso,Wind Quintet,329,B-flat major,B-flat,10,major
2076,Cambini,Wind Quintet No 1 in B-flat Major,2. Larghetto cantabile,Wind Quintet,247,B-flat major,B-flat,10,major
2077,Cambini,Wind Quintet No 1 in B-flat Major,3. Rondo Allegretto grazioso,Wind Quintet,250,B-flat major,B-flat,10,major
2078,Cambini,Wind Quintet No 2 in D Minor,1. Allegro espressivo,Wind Quintet,355,D minor,D,2,minor
2079,Cambini,Wind Quintet No 2 in D Minor,2. Larghetto sostenuto ma con moto,Wind Quintet,278,D minor,D,2,minor
2080,Cambini,Wind Quintet No 2 in D Minor,3. Presto ma non tanto,Wind Quintet,233,D minor,D,2,minor
2081,Cambini,Wind Quintet No 3 in F Major,1. Allegro maestoso,Wind Quintet,299,F major,F,5,major
2082,Cambini,Wind Quintet No 3 in F Major,2. Larghetto sostenuto,Wind Quintet,341,F major,F,5,major
2083,Cambini,Wind Quintet No 3 in F Major,3. Rondo Allegro con brio,Wind Quintet,245,F major,F,5,major
2104,Haydn,Quartet No 53 in D major,1. Allegro moderato,String Quartet,371,D major,D,2,major
2105,Haydn,Quartet No 53 in D major,2. Adagio - Cantabile,String Quartet,291,D major,D,2,major
2106,Haydn,Quartet No 53 in D major,3. Menuetto: Allegretto,String Quartet,226,D major,D,2,major
2112,Brahms,Cello Sonata No 1 in E minor,1. Allegro non troppo,Accompanied Cello,897,E minor,E,4,minor
2113,Brahms,Cello Sonata No 1 in E minor,2. Allegretto quasi Menuetto,Accompanied Cello,352,E minor,E,4,minor
2114,Brahms,Cello Sonata No 1 in E minor,3. Allegro,Accompanied Cello,403,E minor,E,4,minor
2116,Brahms,Clarinet Sonata No 1 in F minor,1. Allegro appassionato,Accompanied Clarinet,410,F minor,F,5,minor
2117,Brahms,Clarinet Sonata No 1 in F minor,2. Andante un poco Adagio,Accompanied Clarinet,266,F minor,F,5,minor
2118,Brahms,Clarinet Sonata No 1 in F minor,3. Allegretto grazioso,Accompanied Clarinet,232,F minor,F,5,minor
2119,Brahms,Clarinet Sonata No 1 in F minor,4. Vivace,Accompanied Clarinet,294,F minor,F,5,minor
2127,Brahms,Serenade No 1 in D Major,2. Scherzo. Allegro non troppo,Wind and Strings Octet,518,D major,D,2,major
2131,Brahms,Serenade No 1 in D Major,6. Rondo. Allegro,Wind and Strings Octet,274,D major,D,2,major
2138,Brahms,String Quartet in C minor,2. Romanze: Poco adagio,String Quartet,429,C minor,C,0,minor
2140,Brahms,String Quartet in C minor,4. Allegro,String Quartet,381,C minor,C,0,minor
2147,Brahms,String Sextet No 2 in G major,4. Poco allegro,String Sextet,501,G major,G,7,major
2148,Brahms,Piano Quartet No 1 in G minor,1. Allegro,Piano Quartet,822,G minor,G,7,minor
2149,Brahms,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,Piano Quartet,476,G minor,G,7,minor
2150,Brahms,Piano Quartet No 1 in G minor,3. Andante con moto,Piano Quartet,599,G minor,G,7,minor
2151,Brahms,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,Piano Quartet,533,G minor,G,7,minor
2154,Brahms,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,String Sextet,894,B-flat major,B-flat,10,major
2155,Brahms,String Sextet No 1 in B-flat major,"2. Andante, ma moderato",String Sextet,606,B-flat major,B-flat,10,major
2156,Brahms,String Sextet No 1 in B-flat major,3. Scherzo. Allegro molto,String Sextet,192,B-flat major,B-flat,10,major
2157,Brahms,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,String Sextet,661,B-flat major,B-flat,10,major
2158,Brahms,Horn Trio in E-flat major,1. Andante,Horn Piano Trio,482,E-flat major,E-flat,3,major
2159,Brahms,Horn Trio in E-flat major,2. Scherzo (Allegro),Horn Piano Trio,466,E-flat major,E-flat,3,major
2160,Brahms,Horn Trio in E-flat major,3. Adagio mesto,Horn Piano Trio,446,E-flat major,E-flat,3,major
2161,Brahms,Horn Trio in E-flat major,4. Allegro con brio,Horn Piano Trio,397,E-flat major,E-flat,3,major
2166,Faure,Piano Quartet No 2 in G minor,1. Allegro molto moderato,Piano Quartet,639,G minor,G,7,minor
2167,Faure,Piano Quartet No 2 in G minor,2. Allegro molto,Piano Quartet,193,G minor,G,7,minor
2168,Faure,Piano Quartet No 2 in G minor,3. Adagio non troppo,Piano Quartet,612,G minor,G,7,minor
2169,Faure,Piano Quartet No 2 in G minor,4. Allegro molto,Piano Quartet,519,G minor,G,7,minor
2177,Ravel,String Quartet in F,1. Allegro moderato - tres doux,String Quartet,490,F major,F,5,major
2178,Ravel,String Quartet in F,2. Assez vif - tres rythme,String Quartet,355,F major,F,5,major
2179,Ravel,String Quartet in F,3. Tres lent,String Quartet,505,F major,F,5,major
2180,Ravel,String Quartet in F,4. Vif et agite,String Quartet,293,F major,F,5,major
2186,Bach,Violin Partita No 3 in E major,1. Preludio,Solo Violin,214,E major,E,4,major
2191,Bach,Violin Partita No 3 in E major,6. Bourree,Solo Violin,102,E major,E,4,major
2194,Bach,"WTK I, No. 13: Prelude and Fugue in F-sharp major",1. Prelude,Solo Piano,100,F-sharp major,F-sharp,6,major
2195,Bach,"WTK I, No. 3: Prelude and Fugue in C-sharp major",2. Fugue,Solo Piano,155,C-sharp major,C-sharp,1,major
2196,Bach,"WTK I, No. 3: Prelude and Fugue in C-sharp major",1. Prelude,Solo Piano,75,C-sharp major,C-sharp,1,major
2198,Bach,"WTK I, No. 22: Prelude and Fugue in B-flat minor",2. Fugue,Solo Piano,197,B-flat minor,B-flat,10,minor
2200,Bach,"WTK I, No. 16: Prelude and Fugue in G minor",2. Fugue,Solo Piano,113,G minor,G,7,minor
2201,Bach,"WTK I, No. 16: Prelude and Fugue in G minor",1. Prelude,Solo Piano,134,G minor,G,7,minor
2202,Bach,Partita in A minor,1. Allemande,Solo Flute,181,A minor,A,9,minor
2203,Bach,Partita in A minor,2. Corrente,Solo Flute,156,A minor,A,9,minor
2204,Bach,Partita in A minor,3. Sarabande,Solo Flute,132,A minor,A,9,minor
2207,Bach,"WTK I, No. 10: Prelude and Fugue in E minor",2. Fugue,Solo Piano,89,E minor,E,4,minor
2208,Bach,"WTK I, No. 10: Prelude and Fugue in E minor",1. Prelude,Solo Piano,120,E minor,E,4,minor
2209,Bach,"WTK I, No. 4: Prelude and Fugue in C-sharp minor",2. Fugue,Solo Piano,160,C-sharp minor,C-sharp,1,minor
2210,Bach,"WTK I, No. 4: Prelude and Fugue in C-sharp minor",1. Prelude,Solo Piano,178,C-sharp minor,C-sharp,1,minor
2211,Bach,"WTK I, No. 12: Prelude and Fugue in F minor",2. Fugue,Solo Piano,237,F minor,F,5,minor
2212,Bach,"WTK I, No. 12: Prelude and Fugue in F minor",1. Prelude,Solo Piano,173,F minor,F,5,minor
2213,Bach,"WTK I, No. 2: Prelude and Fugue in C minor",2. Fugue,Solo Piano,115,C minor,C,0,minor
2214,Bach,"WTK I, No. 2: Prelude and Fugue in C minor",1. Prelude,Solo Piano,107,C minor,C,0,minor
2215,Bach,"WTK I, No. 1: Prelude and Fugue in C major",2. Fugue,Solo Piano,116,C major,C,0,major
2224,Bach,"WTK I, No. 7: Prelude and Fugue in E-flat major",2. Fugue,Solo Piano,108,E-flat major,E-flat,3,major
2225,Bach,"WTK I, No. 7: Prelude and Fugue in E-flat major",1. Prelude,Solo Piano,213,E-flat major,E-flat,3,major
2227,Bach,"WTK I, No. 6: Prelude and Fugue in D minor",2. Fugue,Solo Piano,129,D minor,D,2,minor
2228,Bach,"WTK I, No. 6: Prelude and Fugue in D minor",1. Prelude,Solo Piano,98,D minor,D,2,minor
2229,Bach,"WTK I, No. 20: Prelude and Fugue in A minor",2. Fugue,Solo Piano,244,A minor,A,9,minor
2230,Bach,"WTK I, No. 20: Prelude and Fugue in A minor",1. Prelude,Solo Piano,84,A minor,A,9,minor
2231,Bach,"WTK I, No. 21: Prelude and Fugue in B-flat major",2. Fugue,Solo Piano,115,B-flat major,B-flat,10,major
2232,Bach,"WTK I, No. 21: Prelude and Fugue in B-flat major",1. Prelude,Solo Piano,78,B-flat major,B-flat,10,major
2234,Bach,"WTK I, No. 11: Prelude and Fugue in F major",1. Prelude,Solo Piano,64,F major,F,5,major
2237,Bach,"WTK I, No. 23: Prelude and Fugue in B major",2. Fugue,Solo Piano,109,B major,B,11,major
2238,Bach,"WTK I, No. 23: Prelude and Fugue in B major",1. Prelude,Solo Piano,60,B major,B,11,major
2239,Bach,"WTK I, No. 17: Prelude and Fugue in A-flat major",2. Fugue,Solo Piano,120,A-flat major,A-flat,8,major
2240,Bach,"WTK I, No. 17: Prelude and Fugue in A-flat major",1. Prelude,Solo Piano,92,A-flat major,A-flat,8,major
2241,Bach,Violin Sonata No 1 in G minor,1. Adagio,Solo Violin,242,G minor,G,7,minor
2242,Bach,Violin Sonata No 1 in G minor,2. Fuga,Solo Violin,312,G minor,G,7,minor
2243,Bach,Violin Sonata No 1 in G minor,3. Siciliana,Solo Violin,193,G minor,G,7,minor
2244,Bach,Violin Sonata No 1 in G minor,4. Presto,Solo Violin,214,G minor,G,7,minor
2247,Bach,"WTK I, No. 9: Prelude and Fugue in E major",2. Fugue,Solo Piano,81,E major,E,4,major
2248,Bach,"WTK I, No. 9: Prelude and Fugue in E major",1. Prelude,Solo Piano,104,E major,E,4,major
2282,Bach,Violin Sonata in B minor,1. Adagio,Violin and Harpsichord,313,B minor,B,11,minor
2283,Bach,Violin Sonata in B minor,2. Allegro,Violin and Harpsichord,192,B minor,B,11,minor
2284,Bach,Violin Sonata in B minor,3. Andante,Violin and Harpsichord,227,B minor,B,11,minor
2285,Bach,Violin Sonata in B minor,4. Allegro,Violin and Harpsichord,225,B minor,B,11,minor
2288,Bach,Violin Partita No 1 in B minor,2. Corrente,Solo Violin,191,B minor,B,11,minor
2289,Bach,Violin Partita No 1 in B minor,3. Sarabande,Solo Violin,203,B minor,B,11,minor
2292,Bach,"WTK I, No. 19: Prelude and Fugue in A major",1. Prelude,Solo Piano,91,A major,A,9,major
2300,Bach,"WTK I, No. 8: Prelude and Fugue in E-flat minor",1. Prelude,Solo Piano,238,E-flat minor,E-flat,3,minor
2302,Bach,"WTK I, No. 5: Prelude and Fugue in D major",2. Fugue,Solo Piano,108,D major,D,2,major
2303,Bach,"WTK I, No. 5: Prelude and Fugue in D major",1. Prelude,Solo Piano,92,D major,D,2,major
2304,Bach,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",2. Fugue,Solo Piano,196,F-sharp minor,F-sharp,6,minor
2305,Bach,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",1. Prelude,Solo Piano,65,F-sharp minor,F-sharp,6,minor
2307,Bach,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",2. Fugue,Solo Piano,137,G-sharp minor,G-sharp,8,minor
2308,Bach,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",1. Prelude,Solo Piano,121,G-sharp minor,G-sharp,8,minor
2310,Bach,"WTK I, No. 15: Prelude and Fugue in G major",1. Prelude,Solo Piano,55,G major,G,7,major
2313,Beethoven,String Quartet No 15 in A minor,1. Allegro,String Quartet,593,A minor,A,9,minor
2314,Beethoven,String Quartet No 15 in A minor,2. Allegro ma non tanto,String Quartet,568,A minor,A,9,minor
2315,Beethoven,String Quartet No 15 in A minor,3. Molto Adagio; Andante,String Quartet,1069,A minor,A,9,minor
2318,Beethoven,Trio in E-flat major,1. Allegro moderato,Clarinet-Cello-Piano Trio,641,E-flat major,E-flat,3,major
2319,Beethoven,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,Clarinet-Cello-Piano Trio,620,E-flat major,E-flat,3,major
